PMID,PMC_ID,Title,Journal,PublicationDate,Authors,Abstract,URL,Citation,HTML_FILE
40303524,PMC12040478,A Rare Case of Sarcomatoid-Type Localized Pleural Mesothelioma Derived From Visceral Pleura.,Cureus,2025,Kosaka T; Nakazawa S; Ushikubo R; Ibe T; Shirabe K,"A man in his 80s presented with shortness of breath. Chest CT scan showed pleural effusion and a mass in the right lower lobe. He had high inflammatory reaction and was diagnosed as having pulmonary suppuration with empyema. After three weeks of antibiotic treatment, the lesion grew and he was referred to our department for surgical intervention. A complete resection of the right lower lobe was planned to control infection. Intraoperative findings showed that the lower lobe became a large mass and was judged unresectable. The procedure was converted to drainage of the abscess cavity. Pathological examination, combined with clinical and radiological findings, led to the diagnosis of localized sarcoma-type malignant pleural mesothelioma. Localized malignant pleural mesothelioma is a rare disease and most cases have been reported as epithelial type, deriving from the parietal pleura. Our case is quite rare because it was a sarcoma-type, deriving from the visceral pleura.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12040478/?report=classic,Kosaka et al.. A Rare Case of Sarcomatoid-Type Localized Pleural Mesothelioma Derived From Visceral Pleura.. Cureus. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/A_Rare_Case_of_Sarcomatoid_Type_Localized_Pleural_Mesothelioma_Derived_From_Visc_PMC12040478.html
40302990,PMC12040305,Precise Localization of the Subsolid Lesion by Colour Marking under CT-Guided Control before Video-Assisted Surgery Resection: A Case Report.,Case reports in oncology,2025,Červeňák V; Chovanec Z; Resler J; Hanslík T; Berková A; Bílek O; Novosádová K; Weiss V; Vaníček J,"Lung cancer is one of the leading causes of death worldwide. Lung lesions, often discovered incidentally on chest CT, pose a diagnostic challenge due to their diverse etiology, including both benign and malignant nature. A key step in the assessment of these lesions is the evaluation of their morphological features in the CT image, size, and behavior over time. Nodules are divided into solid and subsolid according to their density. When surgical resection is necessary, solid lesions are palpable peroperatively, whereas subsolid lesions may be unidentifiable by palpation, and their precise localization is difficult. To spare patients from extensive surgery such as thoracotomy, it is advantageous to use one of the methods of preoperative marking of these lesions. Best practices include marking with mixtures containing patent blue and contrast agents, applied under CT guidance. This method allows accurate visualization of the localization of the lesion, which facilitates their resection by minimally invasive video-assisted surgery (VATS).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12040305/?report=classic,Červeňák et al.. Precise Localization of the Subsolid Lesion by Colour Marking under CT-Guided Control before Video-Assisted Surgery Resection: A Case Report.. Case reports in oncology. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Precise_Localization_of_the_Subsolid_Lesion_by_Colour_Marking_under_CT_Guided_Co_PMC12040305.html
40297269,PMC12035686,Combined use of SpineJack and microwave ablation with CT and C-arm in the treatment of vertebral fractures in oncologic patients: a case- based technical note.,Oxford medical case reports,2025,Pusceddu C; Morera Fuster I; Ares-Vidal J; Lafuente Baraza J; Rodríguez Rubio D; Maiques Llácer JM; Faiella E; Cau C; Rinaldi P; Solano López A; Marsico S,"This technical report highlights the combined treatment of bone metastasis using CT imaging and C-arm fluoroscopy to guide microwave thermal ablation and the SpineJack system. The integration of these imaging techniques was crucial for achieving local tumor control and restoring vertebral stability in cases of pathological fractures associated with metastatic disease. CT imaging ensured accurate tumor volume measurement and ablation, safe needle placement, and secure positioning of protective devices, while C-arm fluoroscopy provided real-time guidance for the correct positioning of the SpineJack implants, monitoring their expansion, and ensuring controlled cement application. Although the combination of these techniques has been increasingly utilized, this is the first detailed report to focus on their combined use in treating pathological fractures within a metastatic setting.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12035686/?report=classic,Pusceddu et al.. Combined use of SpineJack and microwave ablation with CT and C-arm in the treatment of vertebral fractures in oncologic patients: a case- based technical note.. Oxford medical case reports. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Combined_use_of_SpineJack_and_microwave_ablation_with_CT_and_C_arm_in_the_treatm_PMC12035686.html
40297141,PMC12034634,Case Report: A novel ELMOD3-ALK and EML4-ALK double-fusion responses to neoadjuvant alectinib in a lung adenocarcinoma patient.,Frontiers in pharmacology,2025,Huang K; Li W; Xue Y; Peng L; Wu Q; Zhou Q,"Anaplastic lymphoma kinase (ALK) rearrangements account for approximately 3%-5% of non-small cell lung cancer (NSCLC), and the echinoderm microtubule-associated protein-like 4 gene (EML4) and ALK fusion (EML4-ALK) is the most common ALK rearrangement in NSCLC patients. However, double-ALK fusion is extremely rare in clinical practice. Herein, we first report a lung adenocarcinoma patient with the coexistence of a novel subfamily 3 of ELMOD (ELMOD3)-ALK, EML4-ALK double fusion that is sensitive to alectinib target therapy.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12034634/?report=classic,Huang et al.. Case Report: A novel ELMOD3-ALK and EML4-ALK double-fusion responses to neoadjuvant alectinib in a lung adenocarcinoma patient.. Frontiers in pharmacology. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Case_Report__A_novel_ELMOD3_ALK_and_EML4_ALK_double_fusion_responses_to_neoadjuv_PMC12034634.html
40292397,PMC12023144,Developing an Integrated Service Planning Tool: Lessons Learnt from Planning the WSLHD Thoracic Oncology Program.,International journal of integrated care,2025,Smythe K; Greenfield D; Calderan A; Harnett P; Derrett A; Nagrial A; Eljiz K,We aim to provide practical guidelines on how to develop integrated service plans that incorporate care provided by multiple specialties.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12023144/?report=classic,Smythe et al.. Developing an Integrated Service Planning Tool: Lessons Learnt from Planning the WSLHD Thoracic Oncology Program.. International journal of integrated care. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Developing_an_Integrated_Service_Planning_Tool__Lessons_Learnt_from_Planning_the_PMC12023144.html
40292154,PMC12019825,Management of malignant inferior vena cava syndrome (IVCS) by endovascular bridging stent placement.,Radiology case reports,2025,Siderakis M; Papavasileiou G; Moutou M; Gkeneralis G; Kartsouni V; Gkeli M,"A 73-year-old male patient was admitted to the emergency department with dyspnea and severe edema in the lower extremities. The patient had been diagnosed with extensive small-cell lung cancer 15 months previously. Contrast-enhanced CT revealed suprahepatic compression of the inferior vena cava (IVC) at the level of its entry into the right atrium, caused by a space-occupying, infiltrating right lung lesion. Inferior vena cava syndrome (IVCS) occurs after obstruction of venous flow through the IVC. Trunk and lower limb edema are the most common manifestations of this syndrome, whereas cardiac function may be compromised in more severe cases. Given the patient's performance status, disease stage, and symptom acuity, endovascular stenting of the IVC was preferred over surgery or radiotherapy. The superior vena cava (SVC)-to-IVC bridging stent approach was employed to address the severe mass effect and location of the IVC stenosis at its junction with the right atrium. Three uncovered self-expandable stents were deployed in tandem from the SVC to the IVC. Overlap between stents minimized the risk of collapse within the right atrium, possibly leading to cardiac conduction disorders or even perforation of the heart wall. The patient experienced alleviation of IVCS symptoms over the next 48 h but unfortunately passed away 8 days later from his primary disease. Although primarily palliative in oncologic cases, SVC-to-IVC stenting can offer rapid and safe relief of symptoms in patients with advanced oncologic disease by restoring venous return to the heart.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12019825/?report=classic,Siderakis et al.. Management of malignant inferior vena cava syndrome (IVCS) by endovascular bridging stent placement.. Radiology case reports. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Management_of_malignant_inferior_vena_cava_syndrome__IVCS__by_endovascular_bridg_PMC12019825.html
40291911,PMC12021797,Metastatic INI-1-deficient undifferentiated lung cancer with EGFR 19del mutation identified in pleural effusion: a case report and review of the literature.,Frontiers in oncology,2025,Guo Z; Li T; Duan X,"INI-1 is a core component of the switch/sucrose-non-fermenting (SWI/SNF) complex, an ATP-dependent chromatin remodeling complex that plays a critical role in DNA repair, transcriptional regulation, and cellular differentiation. Intrathoracic tumors driven by INI-1 inactivation are exceptionally rare. This report presents the first documented case of metastatic INI-1-deficient undifferentiated lung cancer harboring a co-occurring epidermal growth factor receptor (EGFR) exon 19 deletion mutation. The clinical and pathological characteristics of the tumor are described, followed by a comprehensive review of the relevant literature.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12021797/?report=classic,Guo et al.. Metastatic INI-1-deficient undifferentiated lung cancer with EGFR 19del mutation identified in pleural effusion: a case report and review of the literature.. Frontiers in oncology. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Metastatic_INI_1_deficient_undifferentiated_lung_cancer_with_EGFR_19del_mutation_PMC12021797.html
40291578,PMC11718566,Gastrointestinal bleeding due to small bowel metastasis from lung adenocarcinoma: A case report.,World journal of clinical cases,2025,Yuan TY; Chen YX; Zhao YG; Wang B; Wang SX,"Lung cancer is the most prevalent malignant tumor in human body, and is characterized by a high level of malignancy. The most common metastatic sites include the liver, bone, brain, and adrenal gland, while lung cancer resulting in gastrointestinal tract metastasis is uncommon.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11718566/?report=classic,Yuan et al.. Gastrointestinal bleeding due to small bowel metastasis from lung adenocarcinoma: A case report.. World journal of clinical cases. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Gastrointestinal_bleeding_due_to_small_bowel_metastasis_from_lung_adenocarcinoma_PMC11718566.html
40291354,PMC12020972,Intriguing Encounter: Unveiling Squamous Cell Carcinoma Lung with Rare Bilateral Renal and Pituitary Metastasis on [18F]-FDG PET/CT.,"Indian journal of nuclear medicine : IJNM : the official journal of the Society of Nuclear Medicine, India",2024,Singh P; Khandelwal Y; Mishra V; Jain B,"Metastases from squamous cell carcinoma of the lung typically occur in the brain, liver, adrenal glands, bone, and regional lymph nodes. It is exceedingly uncommon to encounter multiple rare sites of metastasis from a single primary neoplasm. Herein, we describe a case of a 44-year-old male diagnosed with squamous cell carcinoma lung with pituitary and renal metastasis detected on <sup>18</sup>F-FDG (Fluorodeoxyglucose) PET/CT. <sup>18</sup>F-FDG PET/CT is the standard of care and is an integral part of the clinical staging of patients with lung cancer. According to published literature, the incidence of symptomatic pituitary and renal metastasis from squamous cell carcinoma lung is rare to find with incidences <1% and 5%, respectively. The revelation of rare sites of metastasis originating from primary squamous cell carcinoma lung, as reported in this case on FDG PET/CT, illuminates the exceptional rarity and intricacies in oncology. The exquisite sensitivity of FDG PET/CT enables the identification of occult metastasis in atypical anatomical locations, presenting a distinct advantage over conventional imaging modalities.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12020972/?report=classic,"Singh et al.. Intriguing Encounter: Unveiling Squamous Cell Carcinoma Lung with Rare Bilateral Renal and Pituitary Metastasis on [18F]-FDG PET/CT.. Indian journal of nuclear medicine : IJNM : the official journal of the Society of Nuclear Medicine, India. 2024.",/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Intriguing_Encounter__Unveiling_Squamous_Cell_Carcinoma_Lung_with_Rare_Bilateral_PMC12020972.html
40291184,PMC12022811,Pneumatocele With Perforation of the Residual Lung Immediately After Thoracoscopic Left Lower Lobectomy: A Case Report.,Cureus,2025,Matsuoka H; Matsubara H; Ota M; Nakajima H,"Cases of pneumatocele formation following pulmonary resection are increasingly reported, yet its underlying pathogenesis and optimal treatment remain unclear. Here, we present a case of pneumatocele perforation occurring immediately after thoracoscopic left lower lobectomy. A 66-year-old man was found to have a suspicious nodule in the left lower lung zone during a routine chest X-ray as part of a medical checkup. CT suggested lung cancer in the left lower lobe, prompting referral to our hospital for further evaluation and treatment. Contrasted CT imaging revealed a ground-glass nodule with a maximum diameter of 4.6 cm, including a 4 cm solid component, located in segments S9/10 of the left lower lobe. No signs of emphysema were observed, and pulmonary function tests indicated normal respiratory capacity. PET-CT showed mild uptake (SUVmax 2.04) in the left lower lobe mass, with no evidence of distant metastasis. Additionally, contrast-enhanced brain MRI showed no abnormalities suggestive of metastasis. Bronchoscopy was performed, but transbronchial lung biopsy and brushing/irrigation cytology yielded no evidence of malignancy. Based on these findings, stage IB primary lung cancer was suspected, and a surgical biopsy followed by lobectomy was planned. The procedure was conducted using a four-port, completely thoracoscopic approach. Intraoperative needle biopsy confirmed adenocarcinoma, leading to left lower lobectomy and mediastinal lymph node dissection. Immediately after chest wound closure, a large volume of air leakage was observed, along with pneumatocele formation and perforation on the mediastinal side of the upper lobe. The pneumatocele was incised, its base cauterized, and covered with a TachoSil<sup>®</sup> fibrin sealant patch (CSL Behring, King of Prussia, PA, USA). Postoperatively, a mild air leak persisted, requiring a single session of adhesive therapy. Lung fragility and increased negative intrathoracic pressure following resection are key risk factors for pneumatocele formation. While most cases can be managed conservatively, surgical intervention should be considered in symptomatic cases, particularly those presenting with pneumothorax or hemoptysis. If a pneumatocele develops intraoperatively, positive pressure ventilation and compression may cause further expansion. Therefore, we recommend prompt incision to prevent enlargement, followed by air leak closure through cauterization of the base and application of a sealing material.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12022811/?report=classic,Matsuoka et al.. Pneumatocele With Perforation of the Residual Lung Immediately After Thoracoscopic Left Lower Lobectomy: A Case Report.. Cureus. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Pneumatocele_With_Perforation_of_the_Residual_Lung_Immediately_After_Thoracoscop_PMC12022811.html
